Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,1,Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,15383397803,,,4
H5,2017,2017,2017,0,0,2,Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1508079658,,,4
H5,2017,2017,2017,0,0,3,Re-Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,49329001,,,0
H5,2017,2017,2017,0,0,4,Re-Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,44071914,,,0
H5,2017,2017,2017,0,0,1,Import,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1696136475,,,4
H5,2017,2017,2017,0,0,2,Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,334751881,,,4
H5,2017,2017,2017,0,0,3,Re-Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,347247,,,0
H5,2017,2017,2017,0,0,4,Re-Import,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,11579851,,,0
H5,2017,2017,2017,0,0,1,Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2842546760,,,4
H5,2017,2017,2017,0,0,2,Export,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3560300692,,,4
H5,2017,2017,2017,0,0,3,Re-Export,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,13751291,,,0
H5,2017,2017,2017,0,0,4,Re-Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,80055132,,,0
H5,2018,2018,2018,0,0,1,Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,14544686752,,,4
H5,2018,2018,2018,0,0,2,Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1818069216,,,4
H5,2018,2018,2018,0,0,3,Re-Export,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,63749567,,,0
H5,2018,2018,2018,0,0,4,Re-Import,586,Pakistan,PAK,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,79091525,,,0
H5,2018,2018,2018,0,0,1,Import,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1928465308,,,4
H5,2018,2018,2018,0,0,2,Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,383046018,,,4
H5,2018,2018,2018,0,0,3,Re-Export,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1325648,,,0
H5,2018,2018,2018,0,0,4,Re-Import,586,Pakistan,PAK,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,12330284,,,0
H5,2018,2018,2018,0,0,1,Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2946714821,,,4
H5,2018,2018,2018,0,0,2,Export,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,3802499708,,,4
H5,2018,2018,2018,0,0,3,Re-Export,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,23405240,,,0
H5,2018,2018,2018,0,0,4,Re-Import,586,Pakistan,PAK,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,105470642,,,0
H5,2019,2019,2019,0,0,1,Import,524,Nepal,NPL,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1939889150,,,4
H5,2019,2019,2019,0,0,2,Export,524,Nepal,NPL,156,China,CHN,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,18115854,,,4
H5,2019,2019,2019,0,0,1,Import,524,Nepal,NPL,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,7777207554,,,4
