Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1981","1981","1000 $","221303","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1982","1982","1000 $","190022","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1983","1983","1000 $","180838","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1984","1984","1000 $","259498","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1985","1985","1000 $","105932","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1986","1986","1000 $","61756","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1987","1987","1000 $","127157","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1988","1988","1000 $","133547","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1989","1989","1000 $","56494","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1990","1990","1000 $","67872","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1991","1991","1000 $","90968","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1992","1992","1000 $","118404","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1993","1993","1000 $","97685","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1994","1994","1000 $","112908","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1995","1995","1000 $","138590","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1996","1996","1000 $","130967","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1997","1997","1000 $","130151","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1998","1998","1000 $","132054","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","1999","1999","1000 $","160097","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2000","2000","1000 $","132947","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2001","2001","1000 $","77134","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2002","2002","1000 $","111219","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2003","2003","1000 $","116950","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2004","2004","1000 $","154439","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2005","2005","1000 $","142332","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2006","2006","1000 $","141177","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2007","2007","1000 $","180011","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2008","2008","1000 $","145928","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2009","2009","1000 $","139432","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2010","2010","1000 $","212464","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2011","2011","1000 $","162637","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2012","2012","1000 $","156413","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2013","2013","1000 $","184993","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2014","2014","1000 $","214989","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2015","2015","1000 $","210249","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2016","2016","1000 $","239618","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2017","2017","1000 $","234811","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2018","2018","1000 $","224484","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2019","2019","1000 $","229719","Fc","Calculated data"
"TI","Trade Indices","149","Nepal","64","Import Value Base Period Quantity","31","Rice, milled","2020","2020","1000 $","219188","Fc","Calculated data"
