year,CC.EG.INTS.KW,CC.ENA.OEU,CC.ENO.OEU,CC.ENTX.ENE.ZS,CC.GHG.EMSE.EN,CC.NCO.GHG.EN
1990-01-01,0.265,2.0419,0.0077,NA,3.26,2.37
1991-01-01,0.282,2.7249,0.0103,NA,3.68,2.56
1992-01-01,0.28,2.7145,0.0102,NA,3.88,2.74
1993-01-01,0.266,2.7219,0.0103,NA,4.23,2.92
1994-01-01,0.259,14.1422,0.0534,NA,4.73,3.11
1995-01-01,0.264,3.2073,0.0121,NA,5.06,3.3
1996-01-01,0.281,3.2073,0.0121,NA,5.7,3.87
1997-01-01,0.305,3.8593,0.0146,NA,6.53,4.43
1998-01-01,0.381,21.276,0.0803,NA,7.2,5
1999-01-01,0.433,21.5044,0.0811,NA,8.57,5.56
2000-01-01,0.441,21.8194,0.0823,NA,9.23,6.13
2001-01-01,0.487,19.2156,0.0725,NA,9.66,6.31
2002-01-01,0.513,19.7024,0.0743,NA,9.15,6.49
2003-01-01,0.495,18.7557,0.0708,NA,9.57,6.67
2004-01-01,0.506,20.6868,0.0781,NA,9.54,6.84
2005-01-01,0.512,20.449,0.0772,NA,10.09,7.02
2006-01-01,0.478,20.3555,0.0768,NA,9.8,7.3
2007-01-01,0.432,16.8166,0.0635,NA,10.16,7.58
2008-01-01,0.443,24.9497,0.0941,NA,10.74,7.86
2009-01-01,0.444,32.4387,0.1224,NA,11.56,8.14
2010-01-01,0.425,34.7918,0.1313,NA,12.54,8.42
2011-01-01,0.41,36.0712,0.1361,NA,13.45,9.05
2012-01-01,0.393,36.0004,0.1359,NA,14.65,9.67
2013-01-01,0.397,40.95,0.1545,NA,15.25,10.3
2014-01-01,0.4,42.0867,0.1588,NA,16.88,10.93
2015-01-01,0.347,39.4138,0.1487,NA,17.25,11.56
2016-01-01,0.625,65.1623,0.2459,NA,20.35,11.85
2017-01-01,NA,80.1274,0.3024,NA,22.33,12.14
2018-01-01,NA,86.6214,0.3269,NA,23.61,12.42
2019-01-01,NA,95.5284,0.3605,NA,NA,NA
2020-01-01,NA,NA,NA,NA,NA,NA
2021-01-01,NA,NA,NA,NA,NA,NA
2022-01-01,NA,NA,NA,NA,NA,NA
2023-01-01,NA,NA,NA,NA,NA,NA
2024-01-01,NA,NA,NA,NA,NA,NA
2025-01-01,NA,NA,NA,NA,NA,NA
